source_id,source_name,source_category,dataset_name,business_purpose,asset_classes,products_or_regions,system_owner,business_owner,vendor_or_origin,golden_source,fallback_source,update_frequency,delivery_pattern,latency_requirement,retention_requirement,storage_pattern,schema_owner,quality_checks,reconciliation_method,usage_scope,criticality,license_type,license_restrictions,entitlements_required,cost_model,sensitivity_class,availability_slo,incident_runbook,monitoring_metrics,lineage_notes,last_reviewed_at,status
refdata_locations,Location Master,reference_data,Physical and pricing location reference,"delivery terms; logistics; pricing basis","power; gas; oil; refined products; agriculture",North America,Reference Data Platform,Operations,Internal operational reference data,internal_location_master,none,daily,api_pull,<30 minutes for operational changes,"Life of record + 7 years","Postgres -> warehouse dimension",Reference Data,"location code uniqueness; timezone validation; hierarchy checks",Compare against contracts schedules and nomination data,"trade capture; operations; pricing; logistics",tier_1,Internal,Internal only,no,internal build,internal_confidential,99.9%,runbooks/reference-data/locations.md,"invalid timezone count; orphan locations; update failures","Supports hub, pipeline, storage, and plant location types",2026-03-10,active
refdata_price_indices,Price Index Master,reference_data,External and internal price index definitions,"index-linked pricing; marks; settlement","oil; refined products; gas; power; dry bulk",North America and global commodities,Reference Data Platform,Pricing and Risk,Internal operational reference data + vendor metadata,internal_price_index_master,vendor_index_reference,daily,api_pull,<1 hour for operational changes,"Life of index + 7 years","Postgres operational tables -> warehouse dimensions",Reference Data,"duplicate publication codes; unit and currency validation",Reconcile against observed price publications,"trade capture; pricing; risk; settlement",tier_0,Internal + licensed vendor metadata,"Index metadata redistribution may be restricted",yes,enterprise license,internal_confidential,99.95%,runbooks/reference-data/price-indices.md,"unmapped indices; stale metadata; failed validations","Canonical layer for linking observations to trades",2026-03-10,active
marketdata_price_indices_obs,External Price Index Observations,market_data,Published commodity index observations,"marking; settlement; exposure valuation","oil; refined products; gas; power",North America and global commodities,Reference Data Platform,Pricing and Risk,Publishers + internal loaders,published_index_observation_feed,manual_override_or_secondary_vendor,daily,api_pull,<2 hours from publication,"7 years raw and curated","Raw landing tables -> validated relational store -> warehouse fact",Data Platform,"range checks; duplicate publication detection; holiday completeness",Compare with official publications and settlement marks,"pricing; risk; settlement; finance",tier_0,Commercial index agreement,"No redistribution of raw observations",yes,subscription + per dataset,internal_confidential,99.95%,runbooks/market-data/price-index-observations.md,"missing publishes; late loads; value anomalies","Normalized by unit, currency, and location mappings",2026-03-10,active
execution_orders_fills,Broker and Exchange Orders and Fills,execution,FIX orders execution reports and drop copy,"execution state; TCA; surveillance",all,All connected venues and brokers,Trading Platform,Trading,Brokers + exchanges,broker_fix_and_drop_copy,internal_oms_event_log,real_time,streaming,<1 second,"7 years online and archive","OMS DB -> Kafka -> warehouse -> immutable audit archive",Trading Platform,"sequence gap checks; duplicate exec IDs; fill quantity validation",Reconcile with broker confirms and exchange drop copies,"OMS; EMS; TCA; compliance; PnL",tier_0,Commercial brokerage agreements,"Contains account and execution-sensitive data",yes,"commission + connectivity fees",restricted_confidential,99.95% during trading hours,runbooks/execution/orders-and-fills.md,"sequence gaps; reject rate; stale session count","Canonicalized to internal order and trade identifiers",2026-03-10,active
ops_positions_balances,Positions and Balances,positions,Internal books and records positions cash and margin,"risk; pnl; funding; reconciliation",all,Enterprise,Operations Platform,Operations,Internal books and broker statements,internal_books_and_records,broker_and_custodian_statements,intraday,database_replication,"<5 minutes intraday; EOD final by close+2h","7 years online and archive","Operational DB -> warehouse snapshots -> finance marts",Finance Data,"position sign checks; cash balance completeness; account mapping validation",Reconcile against broker statements custodians and CCPs,"risk; pnl; settlement; finance; reporting",tier_0,Internal,Contains account-sensitive data,yes,internal build,restricted_confidential,99.95%,runbooks/operations/positions-balances.md,"snapshot age; unreconciled breaks; missing accounts","Derived from event-sourced trades plus external confirms",2026-03-10,active
ops_clearing_settlement,Clearing and Settlement Status,positions,CCP obligations settlement instructions and delivery notices,"settlement readiness; fail prevention; collateral management","futures; options; cleared swaps; physical commodities",North America and global,Operations Platform,Settlement,CCPs custodians and brokers,ccp_and_custodian_feeds,manual_ops_override,intraday,api_pull,<15 minutes intraday,"7 years","Relational ops store -> warehouse ops mart",Operations Data,"instruction completeness; settlement date validation; delivery notice uniqueness",Reconcile against custodians CCP portals and cash movements,"settlement; treasury; operations; finance",tier_0,Commercial clearing agreements,"Restricted to approved operations users",yes,connectivity + service fees,restricted_confidential,99.9%,runbooks/operations/clearing-settlement.md,"failed pulls; pending obligations; break count","Enriched with account and counterparty master data",2026-03-10,active
fx_spot_curves,FX Spot and Forward Curves,market_data,Spot rates forward points and benchmark fixings,"cross-currency valuation; settlement; funding","fx; global commodities; multi-asset",Global,Treasury Data,Treasury,Banks ECNs and benchmark providers,primary_fx_vendor,secondary_fx_vendor,real_time,streaming,<1 second intraday,"7 years","Kafka -> time-series store -> warehouse snapshots",Data Platform,"stale pair checks; triangular arbitrage sanity; fixing completeness",Compare against benchmark fixings and bank confirms,"pricing; risk; treasury; finance",tier_1,Commercial data agreement,"No redistribution of raw rates",yes,subscription + terminal fees,internal_confidential,99.9%,runbooks/market-data/fx-curves.md,"pair staleness; missed fixings; outlier rates","Derived curves built from spot and forward points",2026-03-10,active
rates_curves,Rates and Discount Curves,market_data,OIS swap treasury and benchmark curves,"discounting; derivatives pricing; risk","rates; options; structured products; commodities",USD EUR GBP and CAD curves,Risk Platform,Risk,Interdealer vendors and benchmark admins,primary_rates_vendor,secondary_rates_vendor,real_time,streaming,<5 seconds intraday,"7 years","Time-series store -> risk snapshot store -> warehouse",Risk Platform,"curve monotonicity; missing tenors; negative discount factor checks",Compare against benchmark closes and valuation controls,"risk; pricing; xVA; finance",tier_1,Commercial rates data agreement,"No external redistribution",yes,subscription,internal_confidential,99.9%,runbooks/market-data/rates-curves.md,"curve age; missing tenor count; build failures","Bootstrapped curves versioned by market date and close",2026-03-10,active
options_vol_surfaces,Options Volatility Surfaces,market_data,Implied vol surfaces and Greeks inputs,"options pricing; hedging; scenario analysis","options; power options; commodity options",Listed and OTC options,Risk Platform,Options Trading,Brokers exchanges and analytics vendors,primary_vol_surface_vendor,internal_surface_builder,near_real_time,api_pull,<1 minute intraday,"5 years hot; 7 years archive","Risk store -> warehouse snapshots",Risk Platform,"surface arbitrage checks; missing strike-tenor buckets; stale underlier checks",Compare against exchange settlements and broker marks,"pricing; risk; desk analytics",tier_1,Commercial analytics agreement,"Derived outputs may be shareable internally only",yes,subscription,internal_confidential,99.9%,runbooks/risk/vol-surfaces.md,"surface age; build failure rate; arbitrage violations","Internal builder fills sparse regions using vendor anchors",2026-03-10,active
fundamentals_company,Company Fundamentals and Estimates,fundamentals,Financial statements ratios and consensus estimates,"valuation; factor models; earnings event prep","equities; credit",Global public companies,Research Data,Equities Research,Fundamental data vendors,vendor_fundamentals,company_filings,daily,api_pull,<1 day after vendor publish,"10 years","Raw files -> warehouse dimension and fact tables",Research Data,"restatement detection; period coverage; duplicate company mappings",Compare against filings for sampled issuers,"research; portfolio construction; model training",tier_2,Commercial fundamentals agreement,"Research use only for some fields",yes,annual subscription,internal_confidential,99.5%,runbooks/research/fundamentals.md,"late filings; mapping mismatches; stale estimates","Mapped through instrument master and issuer hierarchy",2026-03-10,active
macro_calendar,Economic Calendar,economic,Macro releases and central bank events,"event risk; scheduling; signal generation","rates; fx; equities; commodities",Major global economies,Research Data,Macro Trading,Macro calendar vendor + public agencies,primary_macro_calendar,public_agency_websites,event_driven,api_pull,<1 minute around release,"7 years","Warehouse event table -> low-latency event cache",Research Data,"timezone checks; consensus completeness; revision linkage",Compare event timestamps and actual values with public releases,"research; execution scheduling; risk",tier_1,Commercial macro data agreement,"No redistribution of full feed",yes,subscription,internal_confidential,99.9%,runbooks/research/macro-calendar.md,"late events; missing consensus; timestamp drift","Stores initial release and later revisions separately",2026-03-10,active
news_realtime,Real-Time Financial News,news,Newswire headlines and story metadata,"event detection; discretionary context; NLP signals","equities; fx; commodities; crypto",Global,Research Data,Trading,Financial newswires,primary_newswire,secondary_newswire,real_time,streaming,<500ms,"2 years hot; 7 years archive metadata","Kafka -> search index -> warehouse archive",Research Data,"duplicate story detection; source heartbeat; symbol tagging validation",Compare major events across multiple wires,"research; alerting; NLP pipelines; desk blotters",tier_1,Commercial newswire agreement,"Story text redistribution restricted",yes,terminal + feed licenses,internal_confidential,99.9%,runbooks/research/news-feed.md,"wire heartbeat; tag coverage; indexing lag","Downstream NLP derives sentiment and entity tags",2026-03-10,active
exchange_status,Exchange Status and Market Structure,market_data,Halts auctions circuit breakers and venue notices,"execution safety; state-aware strategy logic","equities; futures; options; crypto",Connected venues,Trading Platform,Trading,Exchanges SIPs and venue APIs,venue_status_feeds,broker_status_pages,real_time,streaming,<1 second,"2 years online; 7 years archive","Kafka -> ops cache -> warehouse archive",Trading Platform,"session-state transitions; duplicate halt IDs; stale venue heartbeat",Compare venue notices with SIP and broker alerts,"OMS; EMS; surveillance; operator UI",tier_0,Public + commercial connectivity terms,"Internal operational use only",no,connectivity fees,internal_confidential,99.95% during trading hours,runbooks/execution/exchange-status.md,"stale venue heartbeat; missed halts; state mismatch count","Normalized into venue-state timeline",2026-03-10,active
transaction_costs,Transaction Cost Schedules,execution,Fees rebates commissions and exchange assessments,"routing economics; TCA; net PnL","all electronic markets",Connected brokers and venues,Trading Platform,Trading and Finance,Brokers exchanges and internal finance,broker_fee_schedules,finance_manual_override,monthly,sftp_file,<1 business day after change,"7 years","Finance tables -> warehouse TCA mart",Finance Data,"effective-date overlap checks; currency validation; negative fee review",Reconcile against broker invoices and exchange billing,"routing; TCA; finance",tier_1,Commercial brokerage agreements,"Internal only",yes,commission and venue fee pass-through,internal_confidential,99.5%,runbooks/finance/transaction-costs.md,"missing schedules; expired rates; invoice variances","Applied to executions during cost attribution",2026-03-10,active
borrow_financing,Borrow Availability and Financing,market_data,Stock loan availability borrow rates repo and funding spreads,"shorting feasibility; carry modeling; financing controls","equities; fixed income; relative value",North America and Europe,Treasury Data,Prime Brokerage Desk,Prime brokers and treasury systems,prime_broker_borrow_feed,manual_desk_override,intraday,api_pull,<15 minutes intraday,"5 years","Ops DB -> warehouse financing mart",Treasury Data,"negative rate review; stale borrow inventory; account coverage checks",Compare against actual stock loan and funding charges,"trading; treasury; risk; finance",tier_1,Commercial prime broker agreements,"Counterparty-sensitive data; no redistribution",yes,service fees + financing spreads,restricted_confidential,99.5%,runbooks/treasury/borrow-financing.md,"stale inventory; missing accounts; borrow rate spikes","Linked to security master and account entitlements",2026-03-10,active
risk_factors,Factor and Correlation Data,risk,Style sector macro and commodity factor sets,"portfolio construction; hedging; stress analysis","equities; multi-asset; commodities",Enterprise,Risk Platform,Risk,Internal models + vendor factor libraries,internal_factor_engine,vendor_factor_library,daily,batch_job,<6 hours after close,"10 years curated","Feature store -> warehouse risk mart",Risk Platform,"factor completeness; covariance positive-semidefinite checks; exposure bounds",Backtest factor returns and compare to vendor benchmark series,"risk; portfolio analytics; research",tier_2,Internal + commercial analytics agreement,"Internal analytical use only",yes,subscription + internal compute,internal_confidential,99.5%,runbooks/risk/factor-data.md,"factor build failures; missing returns; covariance anomalies","Internal factors combine market data and fundamentals",2026-03-10,active
reference_pricing,Reference Pricing and Official Marks,market_data,Official closes settlements evaluated prices and NAVs,"books and records; margin; valuation controls","futures; options; funds; fixed income; commodities",Global,Risk Platform,Finance and Risk,Exchanges fund admins and pricing vendors,official_marks_primary,secondary_pricing_vendor,end_of_day,api_pull,<2 hours after market close,"7 years","Valuation store -> warehouse finance mart",Finance Data,"missing close checks; valuation outlier checks; duplicate mark suppression",Compare against broker statements CCP files and exchange settlements,"risk; finance; margin; reporting",tier_0,Commercial pricing agreements,"No redistribution of raw evaluated prices",yes,subscription,restricted_confidential,99.95% at EOD cycle,runbooks/finance/reference-pricing.md,"late marks; stale evaluations; valuation exceptions","Versioned by market date valuation run and source",2026-03-10,active
compliance_lists,Compliance Restrictions and Sanctions,compliance,Restricted lists sanctions politically exposed persons and watchlists,"pre-trade blocking; surveillance; reporting",all,Global,Compliance Platform,Compliance,Compliance vendors + internal legal lists,internal_compliance_master,vendor_watchlist_feed,daily,batch_job,"before start of day; urgent intraday updates","7 years","Relational compliance store -> signed snapshots",Compliance Data,"list freshness; duplicate entity resolution; effective-date integrity",Compare sanctions updates to vendor notices and legal approvals,"pre-trade controls; surveillance; onboarding",tier_0,Commercial compliance agreement,"Restricted to authorized compliance workflows",yes,subscription,restricted_confidential,99.95%,runbooks/compliance/restrictions-and-sanctions.md,"stale list age; failed match jobs; urgent bulletin backlog","Entity resolution maps names to counterparty master where possible",2026-03-10,active
counterparty_credit,Counterparty Credit Limits and Ratings,compliance,Internal credit lines external ratings and exposure thresholds,"trade approval; counterparty risk; concentration management","otc commodities; fx; bilateral products",Enterprise,Compliance Platform,Credit Risk,Internal credit systems + rating agencies,internal_credit_master,manual_credit_override,intraday,api_pull,<15 minutes for credit changes,"7 years","Operational DB -> warehouse credit mart",Credit Risk,"limit sign checks; missing rating review dates; hierarchy consistency",Reconcile against approved limit memos and exposure reports,"trade capture; risk; compliance",tier_0,Internal + ratings licenses,"Ratings redistribution restricted",yes,internal build + ratings fees,restricted_confidential,99.95%,runbooks/compliance/counterparty-credit.md,"expired reviews; limit breaches; sync lag","Combines legal entity hierarchy and product-level constraints",2026-03-10,active
weather_forecast_obs,Weather Forecast and Observations,weather,Temperature wind storm and degree-day datasets,"demand forecasting; generation modeling; supply risk","power; gas; agriculture",North America and global key regions,External Data Platform,Commodities Trading,Weather vendors + public agencies,primary_weather_vendor,public_agency_weather_feeds,hourly,api_pull,<15 minutes,"10 years","Lakehouse partitioned by model run and geography",Data Platform,"station coverage checks; run completeness; unit normalization",Compare selected stations and forecasts against public agency observations,"research; pricing; risk; operations",tier_1,Commercial weather data agreement,"Redistribution restricted; derived analytics allowed",yes,subscription + usage,internal_confidential,99.9%,runbooks/external-data/weather.md,"late model runs; missing stations; forecast bias drift","Derived HDD/CDD features generated downstream",2026-03-10,active
power_iso_load,ISO Load and Grid Fundamentals,weather,Load forecasts generation outages and transmission conditions,"short-term power price formation; operations awareness",power,North American ISOs and RTOs,External Data Platform,Power Trading,ISO/RTO public feeds + specialty vendors,iso_operator_feeds,specialty_power_vendor,real_time,api_pull,<5 minutes,"7 years","Raw API snapshots -> normalized warehouse fact tables",Data Platform,"node and zone completeness; timestamp alignment; duplicate interval detection",Compare ISO dashboards and settlement statements,"power trading; real-time ops; research",tier_1,Public terms + specialty licenses,"Some node-level resale restrictions may apply",yes,subscription for enhanced coverage,internal_confidential,99.9%,runbooks/external-data/power-iso-load.md,"API errors; interval gaps; stale forecasts","Normalized to common interval and timezone conventions",2026-03-10,active
gas_pipeline_storage,Pipeline Flows and Storage,weather,Pipeline nominations maintenance and storage data,"gas balance modeling; basis analysis; outage awareness",natural_gas,North America,External Data Platform,Gas Trading,Pipeline operators EIA and specialty vendors,pipeline_operator_feeds,secondary_gas_vendor,daily,api_pull,<1 hour intraday for critical updates,"10 years","Lakehouse -> warehouse gas fundamentals mart",Data Platform,"duplicate bulletin detection; capacity bounds; location mapping checks",Compare operator bulletins against vendor normalized files,"gas trading; power trading; risk",tier_1,Public terms + commercial normalization agreements,"Normalized vendor outputs may not be redistributed",yes,subscription,internal_confidential,99.9%,runbooks/external-data/gas-pipelines.md,"late bulletins; mapping failures; storage update gaps","Mapped to internal location master and pipeline codes",2026-03-10,active
eia_energy_data,EIA Energy Data,economic,EIA petroleum natural gas and power datasets,"fundamental supply-demand context; backtesting; benchmarking","oil; refined products; gas; power",United States,External Data Platform,Commodities Research,U.S. Energy Information Administration,eia_api,none,weekly,api_pull,<4 hours after publication,"Permanent historical archive","Raw JSON archive -> normalized warehouse facts",Data Platform,"series completeness; duplicate period detection; revision tracking",Compare values to published EIA releases and historical revisions,"research; pricing; risk; dashboards",tier_1,Public government data,Public source with attribution,no,free,internal_confidential,99.5%,runbooks/external-data/eia.md,"API failures; late series loads; revision count","Normalized through repo-specific EIA mappers",2026-03-10,active
commodity_inventory,Commodity Inventory and Storage Reports,economic,Inventory levels for crude products gas and metals,"balance-sheet modeling; event risk; spread analysis","oil; refined products; gas; metals",United States and major hubs,External Data Platform,Commodities Trading,Government agencies and specialty vendors,government_inventory_reports,specialty_inventory_vendor,weekly,api_pull,<2 hours after release,"10 years","Warehouse event tables -> analytics marts",Data Platform,"release timestamp checks; unit normalization; surprise calculation validation",Compare initial reports to later revisions and market consensus,"research; trading; risk",tier_1,Public + commercial enhancement licenses,"Enhanced datasets may be restricted",yes,subscription for enhanced datasets,internal_confidential,99.5%,runbooks/external-data/inventories.md,"late report count; missing consensus; revision backlog","Consensus surprise features derived downstream",2026-03-10,active
macro_timeseries,Macroeconomic Time-Series and Revisions,economic,Public and commercial macroeconomic time-series with vintages,"macro context; scenario analysis; backtesting; forecasting","rates; fx; equities; commodities",Major global economies,External Data Platform,Commodities Research,Central banks statistical agencies and macro vendors,public_agency_apis,commercial_macro_vendor,daily,api_pull,<4 hours after scheduled releases,"Permanent historical archive","Warehouse time-series store -> analytics marts",Research Data,"release completeness; revision tracking; unit normalization; vintage integrity",Compare initial prints and revisions against public releases and licensed redistributors,"research; risk; dashboards; forecasting",tier_1,Public + commercial macro data licenses,"Public series are generally open; vendor-normalized redistribution may be restricted",no,free to subscription,internal_confidential,99.5%,runbooks/research/macro-timeseries.md,"late releases; missing vintages; unit mapping issues","Supports FRED ALFRED BEA BLS Census Treasury and similar public APIs",2026-04-05,active
market_positioning,Market Positioning and Open Interest,economic,Regulatory and exchange positioning reports,"sentiment context; squeeze risk; basis and spread analysis","commodities; rates; fx; equities",United States futures and options markets,External Data Platform,Commodities Research,CFTC exchanges and specialty vendors,cftc_market_reports,commercial_positioning_vendor,weekly,api_pull,<2 hours after release,"10 years","Warehouse time-series store -> analytics marts",Research Data,"report completeness; contract mapping; revision tracking",Compare CFTC releases to exchange open interest summaries and vendor histories,"research; trading; risk",tier_2,Public + commercial enhancement licenses,"Public reports are open; normalized vendor histories may be restricted",no,free to subscription,internal_confidential,99.5%,runbooks/research/market-positioning.md,"late reports; mapping gaps; contract roll issues","Used as contextual analytics rather than books-and-records input",2026-04-05,active
shipping_ais,Shipping and Vessel Tracking,alt_data,AIS positions port calls and voyage estimates,"commodity flow inference; freight and inventory tracking","oil; LNG; dry bulk; ags",Global shipping lanes,External Data Platform,Commodities Trading,AIS vendors and maritime analytics firms,primary_ais_vendor,secondary_ais_vendor,hourly,api_pull,<30 minutes,"5 years hot; 7 years archive","Geospatial lakehouse -> feature store -> warehouse marts",Data Platform,"duplicate vessel positions; impossible speed checks; MMSI mapping completeness",Compare sampled voyages with port data and broker reports,"research; logistics; risk",tier_2,Commercial geospatial agreement,"No redistribution of raw tracks",yes,usage-based subscription,internal_confidential,99.5%,runbooks/external-data/shipping-ais.md,"feed lag; missing vessels; geofence anomalies","Derived voyage and flow estimates stored separately",2026-03-10,active
satellite_geospatial,Satellite and Geospatial Analytics,alt_data,Site activity inventory proxies and imagery-derived features,"physical activity inference; supply-demand nowcasting","commodities; industrials; consumer",Global strategic assets,External Data Platform,Research,Satellite analytics vendors,primary_satellite_vendor,none,daily,api_pull,<24 hours,"3 years hot; 7 years archive derived only","Object storage -> feature tables -> research marts",Research Data,"spatial coverage checks; duplicate scene detection; feature drift monitoring",Compare against known public reports and physical observations where available,"research; discretionary trading; model training",tier_2,Commercial satellite analytics agreement,"Raw imagery and some features may have strict use limits",yes,subscription + usage,restricted_confidential,99.0%,runbooks/external-data/satellite.md,"delivery delays; missing scenes; model drift","Retain derived features more broadly than raw licensed outputs",2026-03-10,active
social_sentiment,Social Media Sentiment,social_sentiment,Post volume sentiment and topic velocity features,"attention proxies; retail-flow signals; crypto sentiment","equities; crypto",Global public social platforms,Research Data,Research,Alt-data vendors + internal NLP on licensed content,primary_social_vendor,internal_derived_sentiment,near_real_time,streaming,<5 minutes,"2 years hot; 5 years archive derived","Stream store -> feature tables -> warehouse marts",Research Data,"bot-rate monitoring; language coverage; duplicate post suppression",Compare vendor sentiment aggregates to internal NLP samples,"research; alerts; feature engineering",tier_2,Commercial alt-data agreement,"Platform terms and derived-data rights vary by vendor",yes,subscription,internal_confidential,99.0%,runbooks/research/social-sentiment.md,"stream lag; feature freshness; anomalous topic spikes","Store derived aggregates rather than raw text where possible",2026-03-10,active
search_trends,Search Trend Data,alt_data,Query interest and category trends,"attention and demand nowcasting","equities; macro; crypto",Major markets,Research Data,Research,Public trend providers + commercial normalizers,trend_provider_primary,none,daily,api_pull,<1 day,"5 years","Warehouse analytics tables",Research Data,"coverage checks; series rebasing detection; geography completeness",Compare trend spikes with public dashboards and known events,"research; macro dashboards; feature engineering",tier_3,Public terms + commercial normalization,"Use subject to provider ToS",no,free to low cost,internal_confidential,99.0%,runbooks/research/search-trends.md,"late refreshes; rebasing events; missing geos","Used mainly for exploratory and auxiliary features",2026-03-10,active
