source_id,source_name,source_category,dataset_name,business_purpose,asset_classes,products_or_regions,system_owner,business_owner,vendor_or_origin,golden_source,fallback_source,update_frequency,delivery_pattern,latency_requirement,retention_requirement,storage_pattern,schema_owner,quality_checks,reconciliation_method,usage_scope,criticality,license_type,license_restrictions,entitlements_required,cost_model,sensitivity_class,availability_slo,incident_runbook,monitoring_metrics,lineage_notes,last_reviewed_at,status
compliance_lists,Compliance Restrictions and Sanctions,compliance,Restricted lists sanctions politically exposed persons and watchlists,pre-trade blocking; surveillance; reporting,all,Global,Compliance Platform,Compliance,Compliance vendors + internal legal lists,internal_compliance_master,vendor_watchlist_feed,daily,batch_job,before start of day; urgent intraday updates,7 years,Relational compliance store -> signed snapshots,Compliance Data,list freshness; duplicate entity resolution; effective-date integrity,Compare sanctions updates to vendor notices and legal approvals,pre-trade controls; surveillance; onboarding,tier_0,Commercial compliance agreement,Restricted to authorized compliance workflows,yes,subscription,restricted_confidential,99.95%,runbooks/compliance/restrictions-and-sanctions.md,stale list age; failed match jobs; urgent bulletin backlog,Entity resolution maps names to counterparty master where possible,2026-03-10,active
counterparty_credit,Counterparty Credit Limits and Ratings,compliance,Internal credit lines external ratings and exposure thresholds,trade approval; counterparty risk; concentration management,otc commodities; fx; bilateral products,Enterprise,Compliance Platform,Credit Risk,Internal credit systems + rating agencies,internal_credit_master,manual_credit_override,intraday,api_pull,<15 minutes for credit changes,7 years,Operational DB -> warehouse credit mart,Credit Risk,limit sign checks; missing rating review dates; hierarchy consistency,Reconcile against approved limit memos and exposure reports,trade capture; risk; compliance,tier_0,Internal + ratings licenses,Ratings redistribution restricted,yes,internal build + ratings fees,restricted_confidential,99.95%,runbooks/compliance/counterparty-credit.md,expired reviews; limit breaches; sync lag,Combines legal entity hierarchy and product-level constraints,2026-03-10,active
config_limits,Configuration Limits and Entitlements,compliance,Strategy parameters account entitlements and exposure caps,safe production operation; access control; limit enforcement,all,Enterprise,Platform Engineering,Risk and Trading,Internal config services,internal_config_service,break_glass_manual_override,real_time,api_push,<1 minute,7 years for audited changes,Versioned config store -> cached policy engine,Platform Engineering,schema validation; approval-state checks; conflicting limit detection,Compare applied runtime config to approved change records,OMS; risk; admin UI; services,tier_0,Internal,Internal only,yes,internal build,restricted_confidential,99.95%,runbooks/platform/config-and-limits.md,config push failures; drift count; unauthorized access attempts,All limit changes should be versioned and attributed,2026-03-10,active
reference_pricing,Reference Pricing and Official Marks,market_data,Official closes settlements evaluated prices and NAVs,books and records; margin; valuation controls,futures; options; funds; fixed income; commodities,Global,Risk Platform,Finance and Risk,Exchanges fund admins and pricing vendors,official_marks_primary,secondary_pricing_vendor,end_of_day,api_pull,<2 hours after market close,7 years,Valuation store -> warehouse finance mart,Finance Data,missing close checks; valuation outlier checks; duplicate mark suppression,Compare against broker statements CCP files and exchange settlements,risk; finance; margin; reporting,tier_0,Commercial pricing agreements,No redistribution of raw evaluated prices,yes,subscription,restricted_confidential,99.95% at EOD cycle,runbooks/finance/reference-pricing.md,late marks; stale evaluations; valuation exceptions,Versioned by market date valuation run and source,2026-03-10,active
weather_forecast_obs,Weather Forecast and Observations,weather,Temperature wind storm and degree-day datasets,demand forecasting; generation modeling; supply risk,power; gas; agriculture,North America and global key regions,External Data Platform,Commodities Trading,Weather vendors + public agencies,primary_weather_vendor,public_agency_weather_feeds,hourly,api_pull,<15 minutes,10 years,Lakehouse partitioned by model run and geography,Data Platform,station coverage checks; run completeness; unit normalization,Compare selected stations and forecasts against public agency observations,research; pricing; risk; operations,tier_1,Commercial weather data agreement,Redistribution restricted; derived analytics allowed,yes,subscription + usage,internal_confidential,99.9%,runbooks/external-data/weather.md,late model runs; missing stations; forecast bias drift,Derived HDD/CDD features generated downstream,2026-03-10,active
power_iso_load,ISO Load and Grid Fundamentals,weather,Load forecasts generation outages and transmission conditions,short-term power price formation; operations awareness,power,North American ISOs and RTOs,External Data Platform,Power Trading,ISO/RTO public feeds + specialty vendors,iso_operator_feeds,specialty_power_vendor,real_time,api_pull,<5 minutes,7 years,Raw API snapshots -> normalized warehouse fact tables,Data Platform,node and zone completeness; timestamp alignment; duplicate interval detection,Compare ISO dashboards and settlement statements,power trading; real-time ops; research,tier_1,Public terms + specialty licenses,Some node-level resale restrictions may apply,yes,subscription for enhanced coverage,internal_confidential,99.9%,runbooks/external-data/power-iso-load.md,API errors; interval gaps; stale forecasts,Normalized to common interval and timezone conventions,2026-03-10,active
gas_pipeline_storage,Pipeline Flows and Storage,weather,Pipeline nominations maintenance and storage data,gas balance modeling; basis analysis; outage awareness,natural_gas,North America,External Data Platform,Gas Trading,Pipeline operators EIA and specialty vendors,pipeline_operator_feeds,secondary_gas_vendor,daily,api_pull,<1 hour intraday for critical updates,10 years,Lakehouse -> warehouse gas fundamentals mart,Data Platform,duplicate bulletin detection; capacity bounds; location mapping checks,Compare operator bulletins against vendor normalized files,gas trading; power trading; risk,tier_1,Public terms + commercial normalization agreements,Normalized vendor outputs may not be redistributed,yes,subscription,internal_confidential,99.9%,runbooks/external-data/gas-pipelines.md,late bulletins; mapping failures; storage update gaps,Mapped to internal location master and pipeline codes,2026-03-10,active
eia_energy_data,EIA Energy Data,economic,EIA petroleum natural gas and power datasets,fundamental supply-demand context; backtesting; benchmarking,oil; refined products; gas; power,United States,External Data Platform,Commodities Research,U.S. Energy Information Administration,eia_api,none,weekly,api_pull,<4 hours after publication,Permanent historical archive,Raw JSON archive -> normalized warehouse facts,Data Platform,series completeness; duplicate period detection; revision tracking,Compare values to published EIA releases and historical revisions,research; pricing; risk; dashboards,tier_1,Public government data,Public source with attribution,no,free,internal_confidential,99.5%,runbooks/external-data/eia.md,API failures; late series loads; revision count,Normalized through repo-specific EIA mappers,2026-03-10,active
commodity_inventory,Commodity Inventory and Storage Reports,economic,Inventory levels for crude products gas and metals,balance-sheet modeling; event risk; spread analysis,oil; refined products; gas; metals,United States and major hubs,External Data Platform,Commodities Trading,Government agencies and specialty vendors,government_inventory_reports,specialty_inventory_vendor,weekly,api_pull,<2 hours after release,10 years,Warehouse event tables -> analytics marts,Data Platform,release timestamp checks; unit normalization; surprise calculation validation,Compare initial reports to later revisions and market consensus,research; trading; risk,tier_1,Public + commercial enhancement licenses,Enhanced datasets may be restricted,yes,subscription for enhanced datasets,internal_confidential,99.5%,runbooks/external-data/inventories.md,late report count; missing consensus; revision backlog,Consensus surprise features derived downstream,2026-03-10,active
shipping_ais,Shipping and Vessel Tracking,alt_data,AIS positions port calls and voyage estimates,commodity flow inference; freight and inventory tracking,oil; LNG; dry bulk; ags,Global shipping lanes,External Data Platform,Commodities Trading,AIS vendors and maritime analytics firms,primary_ais_vendor,secondary_ais_vendor,hourly,api_pull,<30 minutes,5 years hot; 7 years archive,Geospatial lakehouse -> feature store -> warehouse marts,Data Platform,duplicate vessel positions; impossible speed checks; MMSI mapping completeness,Compare sampled voyages with port data and broker reports,research; logistics; risk,tier_2,Commercial geospatial agreement,No redistribution of raw tracks,yes,usage-based subscription,internal_confidential,99.5%,runbooks/external-data/shipping-ais.md,feed lag; missing vessels; geofence anomalies,Derived voyage and flow estimates stored separately,2026-03-10,active
fx_spot_curves,FX Spot and Forward Curves,market_data,Spot rates forward points and benchmark fixings,cross-currency valuation; settlement; funding,fx; global commodities; multi-asset,Global,Treasury Data,Treasury,Banks ECNs and benchmark providers,primary_fx_vendor,secondary_fx_vendor,real_time,streaming,<1 second intraday,7 years,Kafka -> time-series store -> warehouse snapshots,Data Platform,stale pair checks; triangular arbitrage sanity; fixing completeness,Compare against benchmark fixings and bank confirms,pricing; risk; treasury; finance,tier_1,Commercial data agreement,No redistribution of raw rates,yes,subscription + terminal fees,internal_confidential,99.9%,runbooks/market-data/fx-curves.md,pair staleness; missed fixings; outlier rates,Derived curves built from spot and forward points,2026-03-10,active
rates_curves,Rates and Discount Curves,market_data,OIS swap treasury and benchmark curves,discounting; derivatives pricing; risk,rates; options; structured products; commodities,USD EUR GBP and CAD curves,Risk Platform,Risk,Interdealer vendors and benchmark admins,primary_rates_vendor,secondary_rates_vendor,real_time,streaming,<5 seconds intraday,7 years,Time-series store -> risk snapshot store -> warehouse,Risk Platform,curve monotonicity; missing tenors; negative discount factor checks,Compare against benchmark closes and valuation controls,risk; pricing; xVA; finance,tier_1,Commercial rates data agreement,No external redistribution,yes,subscription,internal_confidential,99.9%,runbooks/market-data/rates-curves.md,curve age; missing tenor count; build failures,Bootstrapped curves versioned by market date and close,2026-03-10,active
audit_telemetry,Audit and Operational Telemetry,internal_model,Decision logs connectivity health and application metrics,debugging; controls; surveillance; platform reliability,all,Enterprise,Platform Engineering,Enterprise Operations,Internal observability stack,internal_observability_stack,none,real_time,streaming,<30 seconds,1 year hot; 7 years retained audit subset,Logs -> metrics store -> archive,Platform Engineering,clock skew checks; missing correlation IDs; log volume anomaly detection,Compare audit trail completeness against order and risk events,engineering; compliance; support,tier_1,Internal,Internal only,yes,internal platform cost,restricted_confidential,99.9%,runbooks/platform/audit-telemetry.md,ingestion lag; dropped spans; missing audit IDs,Links user actions and automated decisions across services,2026-03-10,active
reconciliation_breaks,Reconciliation Breaks and Exceptions,positions,Break queues across internal and external books,operational correctness; control remediation,all,Enterprise,Operations Platform,Operations,Internal reconciliation tooling,internal_recon_engine,manual_ops_tracker,intraday,database_replication,<15 minutes,7 years,Operational DB -> warehouse ops mart,Operations Data,break aging checks; duplicate exception suppression; workflow-state validation,Cross-check trades positions cash and settlement against external statements,operations; finance; risk,tier_1,Internal,Internal only,yes,internal build,restricted_confidential,99.5%,runbooks/operations/reconciliation-breaks.md,open break count; aged breaks; auto-match rate,Breaks are derived control data rather than source-of-truth positions,2026-03-10,active
risk_outputs,Risk Outputs,risk,VaR Greeks stress results and limit utilization,guardrails; capital control; exposure monitoring,all,Enterprise,Risk Platform,Risk,Internal risk engines,internal_risk_engine,manual_risk_freeze_snapshot,intraday,batch_job,<15 minutes intraday and EOD final,7 years,Risk store -> warehouse risk marts,Risk Platform,scenario completeness; limit threshold checks; sensitivity sign sanity,Compare against prior runs sampled independent calculations and finance close,risk; trading; management reporting,tier_0,Internal,Internal only,yes,internal compute,restricted_confidential,99.95%,runbooks/risk/risk-outputs.md,run failures; stale books; limit breach count,Depends on positions market data and reference pricing snapshots,2026-03-10,active
pnl_attribution,PnL and Attribution,positions,Realized unrealized carry and slippage explain,performance control; trader explain; finance tie-out,all,Enterprise,Finance Data,Finance and Trading,Internal finance and risk calculations,internal_pnl_engine,manual_finance_adjustments,intraday,batch_job,<15 minutes intraday; EOD final by close+3h,7 years,Warehouse finance mart -> reporting cache,Finance Data,unexplained pnl thresholds; carry component checks; sign validation,Reconcile to positions trades fees and official marks,finance; trading; management reporting,tier_0,Internal,Internal only,yes,internal compute,restricted_confidential,99.95%,runbooks/finance/pnl-attribution.md,stale marks; unexplained pnl; reconciliation breaks,Explain built from trades costs reference marks and FX,2026-03-10,active
